title,sub,link,created
Staking AkzoNobel treft nu ook chemiedivisie,Stilleggen van chemicaliënfabrieken duurt langer en is risicovoller. Maar de financiële schade voor het bedrijf is daarmee ook groter.,https://fd.nl/ondernemen/1261416/staking-akzonobel-treffen-nu-ook-chemiedivisie,11 jul 18
Pfizer stelt prijsverhoging medicamenten uit na kritiek Trump,Topman Viagra-producent zegt beslissing te hebben genomen na 'uitvoerige discussie' met de president.,https://fd.nl/ondernemen/1261413/pfizer-stelt-prijsverhoging-medicamenten-uit-na-kritiek-trump,11 jul 18
Drie mensen over hun combicarrière,"Waarom maar één carrière? Je kunt ook twee, drie of zelfs vier loopbanen naast elkaar tot ontplooiing brengen, bijvoorbeeld een met het hoofd en als andere juist een uitvoerende. Dat geeft al snel relativering en een bredere blik. ‘Ineens zat ik tussen achttienjarige vmbo’ers.’",https://fd.nl/fd-persoonlijk/1257445/drie-mensen-over-hun-combicarriere,11 jul 18
Hoofd personeelszaken Uber stapt op na intern onderzoek,Directeur zou klachten over racisme binnen het bedrijf stelselmatig hebben genegeerd,https://fd.nl/ondernemen/1261492/hoofd-personeelszaken-uber-stapt-op-na-intern-onderzoek,11 jul 18
Handelsconflict VS-China escaleert ,Washington komt met nieuwe strafheffingen op breed scala aan producten uit Volksrepubliek.,https://fd.nl/economie-politiek/1261412/washington-komt-met-nieuwe-heffing-op-chinese-import,11 jul 18
Iets minder faillissementen in juni,"Trend is nu al bijna een jaar lang vlak, aldus het CBS.",https://fd.nl/economie-politiek/1261491/iets-minder-faillissementen-in-juni,11 jul 18
Stunttarieven voor beleggingsonderzoek zetten kwaad bloed,Brokers mogen sinds de jaarwisseling hun aandelenonderzoek niet meer gratis weggeven. Onafhankelijke researchhuizen klagen nu over dumppraktijken.,https://fd.nl/beurs/1261360/stunttarieven-voor-beleggingsonderzoek-zetten-kwaad-bloed,11 jul 18
'Deurwaarders verdienden onterecht miljoenen aan arbitragerechtbank e-Court',Sociaal raadslieden dienen tuchtklacht in tegen deurwaarderskantoor GGN.,https://fd.nl/ondernemen/1261344/deurwaarders-verdienden-onterecht-miljoenen-aan-arbitragerechtbank-e-court,11 jul 18
'Koppel bouw windpark direct aan de industrie',"De vraag en aanbod van groene stroom moet beter op elkaar worden afgestemd, zegt energieleverancier Eneco. Dat kan hoge kosten voorkomen en de bouwers van windparken meer zekerheid geven.",https://fd.nl/ondernemen/1261343/koppel-bouw-windpark-direct-aan-de-industrie,11 jul 18
Trump in Brussel voor nieuwe worstelpartij met Navo-bondgenoten,De voortekenen zijn niet gunstig bij ontmoeting tussen Amerikaanse president en zijn bondgenoten bij de Navo.,https://fd.nl/economie-politiek/1261280/trump-komt-naar-brussel-voor-nieuwe-worstelpartij-met-navo-bondgenoten,11 jul 18
Morgan Stanley ontloopt naheffing van €39 mln vanwege dividendstrippen,Nederlandse vennootschap van Amerikaanse zakenbank wint rechtszaak tegen Belastingdienst.,https://fd.nl/beurs/1261276/morgan-stanley-ontloopt-naheffing-van-39-mln-vanwege-dividendstrippen,11 jul 18
Buurtapps zijn inmiddels ingeburgerd maar een goed verdienmodel ontbreekt nog,"Lokale makelaar, klusjesman of yogajuf kun je vinden op de wijkapp. ",https://fd.nl/ondernemen/1260764/buurtapp-helpt-lokale-zelfstandige-een-handje,11 jul 18
Personalia 11-7-2018,"Nieuwe baan? Meld het aan personalia@fd.nl, met leeftijd, Nederlandse functieomschrijving van oude en nieuwe baan en een hoge resolutie portretfoto.",https://fd.nl/profiel/1261349/personalia-11-7-2018,11 jul 18
Hoofdlijnen akkoord was makkelijke deel,Plannen zijn vooral een aanzet: een basis waarop verder beleid kan worden uitgestippeld,https://fd.nl/opinie/1261375/hoofdlijnen-akkoord-was-makkelijke-deel,10 jul 18
Pepsi voert positief Wall Street aan,"Op de dag dat verschillende bedrijven hun kwartaalcijfers publiceren, staan de Amerikaanse beurzen op bescheiden winsten.",https://fd.nl/beurs/1261271/amerikaanse-beurzen-waarschijnlijk-hoger,10 jul 18
Kroonprins Pick versterkt positie bij Morgan Stanley,Promotie voor gedoodverfde opvolger van topman James Gorman,https://fd.nl/beurs/1261370/kroonprins-pick-versterkt-positie-bij-morgan-stanley,10 jul 18
Twee vicevoorzitters Conservatives stappen op om brexitbeleid," Maria Caulfield en Ben Bradley, twee parlementariërs en vicevoorzitters van de conservatieve partij, hun taak neer uit angst voor winst van Labour-leider Jeremy Corbyn, als er geen 'juiste' brexit komt.",https://fd.nl/economie-politiek/1261380/twee-vicevoorzitters-conservatives-stappen-op-om-brexitbeleid,10 jul 18
Bij inzet van robots interactie tussen mensen koesteren,Cobot biedt werkgever en werknemer ruimte voor zorgvuldig arbeidsrechtelijk handelen,https://fd.nl/opinie/1261201/bij-inzet-van-robots-interactie-tussen-mensen-koesteren,10 jul 18
Veehouders moeten op milieugebied voorbeeld nemen aan luchtvaart,"Vanaf 2020 alle broeikasgasuitstoot door groei luchtvaart compenseren, verdient navolging.",https://fd.nl/opinie/1261200/veehouders-moeten-op-milieugebied-voorbeeld-nemen-aan-luchtvaart,10 jul 18
PvdA'er Postema stopt als fractievoorzitter,"Schandaal rond Limburgse vmbo heeft nu toch gevolgen voor politicus, die wel aanblijft als senator. ",https://fd.nl/economie-politiek/1261369/pvda-er-postma-stopt-als-fractievoorzitter,10 jul 18
Alle Thaise voetballers bevrijd uit grot,Hulpverleners redden ook laatste vier leden van het voetbalteam.,https://fd.nl/economie-politiek/1261379/alle-thaise-voetballers-bevrijd-uit-grot,10 jul 18
Christiano Ronaldo voor €100 mln naar Juventus,Vedette van Real Madrid tekent voor vier jaar.,https://fd.nl/economie-politiek/1261368/christiano-ronaldo-voor-100-mln-naar-juventus,10 jul 18
NS lift mee met woninghausse en verkoopt grond voor nieuwbouw ,Spoorbedrijf verkoopt eigen industrieterrein vlak bij Utrecht Centraal voor de komst van woonwijken.,https://fd.nl/ondernemen/1261354/ns-lift-mee-met-woninghause-en-verkoopt-opnieuw-grond-voor-nieuwbouw,10 jul 18
Overname Shire door Takeda stap dichterbij,Amerikaanse toezichthouder akkoord met overname van €52 mrd.,https://fd.nl/beurs/1261367/overname-shire-door-takeda-stap-dichterbij,10 jul 18
Arcadis grootste verliezer op Amsterdamse beurs,ASML profiteert van goede cijfers van klant TSMC.,https://fd.nl/beurs/1261241/beleggers-wegen-mislukte-verkoopplannen-arcadis,10 jul 18
Kabinet maakt werken voor Wajongers aantrekkelijker,Vakbond FNV vreest dat sommige jonggehandicapten nooit meer aan het minimumloon zullen komen.,https://fd.nl/economie-politiek/1261378/kabinet-stroomlijnt-wajong,10 jul 18
Avantium bouwt eerste bioraffinaderij ter wereld voor industriële suikers,Proeffabriek in Delfzijl dient als model om elders in de wereld nieuwe raffinaderijen op te zetten. ,https://fd.nl/ondernemen/1261363/avantium-bouwt-eerste-bioraffinaderij-ter-wereld-voor-industriele-suikers,10 jul 18
MediaMonks bezorgt reclamepaus Sorrell razendsnelle comeback ,Grootste overname ooit van Nederlands reclamebedrijf maakt MediaMonks spil in ambities van vertrokken topman van reclamegigant WPP.,https://fd.nl/ondernemen/1261357/mediamonks-bezorgt-reclamepaus-sorrell-razendsnelle-comeback,10 jul 18
Zinkprijs daalt naar laagste punt in een jaar tijd,Handelsoorlog en vrees voor overaanbod zetten druk op de prijs,https://fd.nl/beurs/1261366/zinkprijs-daalt-naar-laagste-punt-in-een-jaar-tijd,10 jul 18
